redemption_option,date,coupon_stake,money_coupon,nominal,redemption_price,currency,isin
-,08.12.2021,7.1%,34.04,-,-,RUB,RU000A1038V6
-,08.06.2022,7.1%,35.4,-,-,RUB,RU000A1038V6
-,07.12.2022,7.1%,35.4,-,-,RUB,RU000A1038V6
-,07.06.2023,7.1%,35.4,-,-,RUB,RU000A1038V6
-,06.12.2023,7.1%,35.4,-,-,RUB,RU000A1038V6
-,05.06.2024,7.1%,35.4,-,-,RUB,RU000A1038V6
-,04.12.2024,7.1%,35.4,-,-,RUB,RU000A1038V6
-,04.06.2025,7.1%,35.4,-,-,RUB,RU000A1038V6
-,03.12.2025,7.1%,35.4,-,-,RUB,RU000A1038V6
-,03.06.2026,7.1%,35.4,-,-,RUB,RU000A1038V6
-,02.12.2026,7.1%,35.4,-,-,RUB,RU000A1038V6
-,02.06.2027,7.1%,35.4,-,-,RUB,RU000A1038V6
-,01.12.2027,7.1%,35.4,-,-,RUB,RU000A1038V6
-,31.05.2028,7.1%,35.4,-,-,RUB,RU000A1038V6
-,29.11.2028,7.1%,35.4,-,-,RUB,RU000A1038V6
-,30.05.2029,7.1%,35.4,-,-,RUB,RU000A1038V6
-,28.11.2029,7.1%,35.4,-,-,RUB,RU000A1038V6
-,29.05.2030,7.1%,35.4,-,-,RUB,RU000A1038V6
-,27.11.2030,7.1%,35.4,-,-,RUB,RU000A1038V6
-,28.05.2031,7.1%,35.4,-,-,RUB,RU000A1038V6
-,26.11.2031,7.1%,35.4,-,-,RUB,RU000A1038V6
-,26.05.2032,7.1%,35.4,-,-,RUB,RU000A1038V6
-,24.11.2032,7.1%,35.4,-,-,RUB,RU000A1038V6
-,25.05.2033,7.1%,35.4,-,-,RUB,RU000A1038V6
-,23.11.2033,7.1%,35.4,-,-,RUB,RU000A1038V6
-,24.05.2034,7.1%,35.4,-,-,RUB,RU000A1038V6
-,22.11.2034,7.1%,35.4,-,-,RUB,RU000A1038V6
-,23.05.2035,7.1%,35.4,-,-,RUB,RU000A1038V6
-,21.11.2035,7.1%,35.4,-,-,RUB,RU000A1038V6
-,21.05.2036,7.1%,35.4,-,-,RUB,RU000A1038V6
-,19.11.2036,7.1%,35.4,-,-,RUB,RU000A1038V6
-,20.05.2037,7.1%,35.4,-,-,RUB,RU000A1038V6
-,18.11.2037,7.1%,35.4,-,-,RUB,RU000A1038V6
-,19.05.2038,7.1%,35.4,-,-,RUB,RU000A1038V6
-,17.11.2038,7.1%,35.4,-,-,RUB,RU000A1038V6
-,18.05.2039,7.1%,35.4,-,-,RUB,RU000A1038V6
-,16.11.2039,7.1%,35.4,-,-,RUB,RU000A1038V6
-,16.05.2040,7.1%,35.4,-,-,RUB,RU000A1038V6
-,14.11.2040,7.1%,35.4,-,-,RUB,RU000A1038V6
MAT,15.05.2041,7.1%,35.4,1000,-,RUB,RU000A1038V6
-,04.12.2024,12.25%,68.13,-,-,RUB,RU000A108EH4
-,04.06.2025,12.25%,61.08,-,-,RUB,RU000A108EH4
-,03.12.2025,12.25%,61.08,-,-,RUB,RU000A108EH4
-,03.06.2026,12.25%,61.08,-,-,RUB,RU000A108EH4
-,02.12.2026,12.25%,61.08,-,-,RUB,RU000A108EH4
-,02.06.2027,12.25%,61.08,-,-,RUB,RU000A108EH4
-,01.12.2027,12.25%,61.08,-,-,RUB,RU000A108EH4
-,31.05.2028,12.25%,61.08,-,-,RUB,RU000A108EH4
-,29.11.2028,12.25%,61.08,-,-,RUB,RU000A108EH4
-,30.05.2029,12.25%,61.08,-,-,RUB,RU000A108EH4
-,28.11.2029,12.25%,61.08,-,-,RUB,RU000A108EH4
-,29.05.2030,12.25%,61.08,-,-,RUB,RU000A108EH4
-,27.11.2030,12.25%,61.08,-,-,RUB,RU000A108EH4
-,28.05.2031,12.25%,61.08,-,-,RUB,RU000A108EH4
-,26.11.2031,12.25%,61.08,-,-,RUB,RU000A108EH4
-,26.05.2032,12.25%,61.08,-,-,RUB,RU000A108EH4
-,24.11.2032,12.25%,61.08,-,-,RUB,RU000A108EH4
-,25.05.2033,12.25%,61.08,-,-,RUB,RU000A108EH4
-,23.11.2033,12.25%,61.08,-,-,RUB,RU000A108EH4
-,24.05.2034,12.25%,61.08,-,-,RUB,RU000A108EH4
-,22.11.2034,12.25%,61.08,-,-,RUB,RU000A108EH4
-,23.05.2035,12.25%,61.08,-,-,RUB,RU000A108EH4
-,21.11.2035,12.25%,61.08,-,-,RUB,RU000A108EH4
-,21.05.2036,12.25%,61.08,-,-,RUB,RU000A108EH4
-,19.11.2036,12.25%,61.08,-,-,RUB,RU000A108EH4
-,20.05.2037,12.25%,61.08,-,-,RUB,RU000A108EH4
-,18.11.2037,12.25%,61.08,-,-,RUB,RU000A108EH4
-,19.05.2038,12.25%,61.08,-,-,RUB,RU000A108EH4
-,17.11.2038,12.25%,61.08,-,-,RUB,RU000A108EH4
-,18.05.2039,12.25%,61.08,-,-,RUB,RU000A108EH4
-,16.11.2039,12.25%,61.08,-,-,RUB,RU000A108EH4
MAT,16.05.2040,12.25%,61.08,1000,-,RUB,RU000A108EH4
-,06.12.2023,9.8%,45.11,-,-,RUB,RU000A106E90
-,05.06.2024,9.8%,48.87,-,-,RUB,RU000A106E90
-,04.12.2024,9.8%,48.87,-,-,RUB,RU000A106E90
-,04.06.2025,9.8%,48.87,-,-,RUB,RU000A106E90
-,03.12.2025,9.8%,48.87,-,-,RUB,RU000A106E90
-,03.06.2026,9.8%,48.87,-,-,RUB,RU000A106E90
-,02.12.2026,9.8%,48.87,-,-,RUB,RU000A106E90
-,02.06.2027,9.8%,48.87,-,-,RUB,RU000A106E90
-,01.12.2027,9.8%,48.87,-,-,RUB,RU000A106E90
-,31.05.2028,9.8%,48.87,-,-,RUB,RU000A106E90
-,29.11.2028,9.8%,48.87,-,-,RUB,RU000A106E90
-,30.05.2029,9.8%,48.87,-,-,RUB,RU000A106E90
-,28.11.2029,9.8%,48.87,-,-,RUB,RU000A106E90
-,29.05.2030,9.8%,48.87,-,-,RUB,RU000A106E90
-,27.11.2030,9.8%,48.87,-,-,RUB,RU000A106E90
-,28.05.2031,9.8%,48.87,-,-,RUB,RU000A106E90
-,26.11.2031,9.8%,48.87,-,-,RUB,RU000A106E90
-,26.05.2032,9.8%,48.87,-,-,RUB,RU000A106E90
-,24.11.2032,9.8%,48.87,-,-,RUB,RU000A106E90
-,25.05.2033,9.8%,48.87,-,-,RUB,RU000A106E90
-,23.11.2033,9.8%,48.87,-,-,RUB,RU000A106E90
-,24.05.2034,9.8%,48.87,-,-,RUB,RU000A106E90
-,22.11.2034,9.8%,48.87,-,-,RUB,RU000A106E90
-,23.05.2035,9.8%,48.87,-,-,RUB,RU000A106E90
-,21.11.2035,9.8%,48.87,-,-,RUB,RU000A106E90
-,21.05.2036,9.8%,48.87,-,-,RUB,RU000A106E90
-,19.11.2036,9.8%,48.87,-,-,RUB,RU000A106E90
-,20.05.2037,9.8%,48.87,-,-,RUB,RU000A106E90
-,18.11.2037,9.8%,48.87,-,-,RUB,RU000A106E90
MAT,19.05.2038,9.8%,48.87,1000,-,RUB,RU000A106E90
-,27.11.2024,12.25%,65.78,-,-,RUB,RU000A108EF8
-,28.05.2025,12.25%,61.08,-,-,RUB,RU000A108EF8
-,26.11.2025,12.25%,61.08,-,-,RUB,RU000A108EF8
-,27.05.2026,12.25%,61.08,-,-,RUB,RU000A108EF8
-,25.11.2026,12.25%,61.08,-,-,RUB,RU000A108EF8
-,26.05.2027,12.25%,61.08,-,-,RUB,RU000A108EF8
-,24.11.2027,12.25%,61.08,-,-,RUB,RU000A108EF8
-,24.05.2028,12.25%,61.08,-,-,RUB,RU000A108EF8
-,22.11.2028,12.25%,61.08,-,-,RUB,RU000A108EF8
-,23.05.2029,12.25%,61.08,-,-,RUB,RU000A108EF8
-,21.11.2029,12.25%,61.08,-,-,RUB,RU000A108EF8
-,22.05.2030,12.25%,61.08,-,-,RUB,RU000A108EF8
-,20.11.2030,12.25%,61.08,-,-,RUB,RU000A108EF8
