issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
Минфин России,государственные,ОФЗ 26238 / ОФЗ-ПД238,RU000A1038V6,RUB,500.00 RUB,1000,В обращении,23.06.2021,15.05.2041,49.918 / 49.916 / 49.918,2.33,1000,35.40 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26248 / ОФЗ-ПД248,RU000A108EH4,RUB,750.00 RUB,1000,В обращении,04.07.2024,16.05.2040,74.33 / 74.321 / 74.33,4.03,1000,61.08 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26243 / ОФЗ-ПД243,RU000A106E90,RUB,750.00 RUB,1000,В обращении,22.06.2023,19.05.2038,63.329 / 63.302 / 63.329,3.22,1000,48.87 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26247 / ОФЗ-ПД247,RU000A108EF8,RUB,750.00 RUB,1000,В обращении,16.05.2024,11.05.2039,74.762 / 74.687 / 74.694,6.38,1000,61.08 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,RUS-28 / MINFIN RF 12.75 24/06/28,XS0088543193,USD,2.50 USD,1000,В обращении,09.06.2014,26.06.2028,111.8,60.92,1000,63.75 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКЗ-27Д / Газпром капитал об07,RU000A1056U0,USD,0.40 USD,1000,В обращении,23.09.2022,23.03.2027,88.89,11.41,1000,24.75 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26234 / ОФЗ-ПД234,RU000A101QE0,RUB,496.71 RUB,1000,В обращении,10.06.2020,16.07.2025,91.263 / 91.227 / 91.264,18.74,1000,22.44 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26246 / ОФЗ-ПД246,RU000A108EE1,RUB,750.00 RUB,1000,В обращении,23.05.2024,12.03.2036,75.599 / 75.595 / 75.599,26.96,1000,59.84 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26244 / ОФЗ-ПД244,RU000A1074G2,RUB,750.00 RUB,1000,В обращении,02.11.2023,15.03.2034,75.052 / 75.022 / 75.052,25.28,1000,56.10 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29014 / ОФЗ-ПК014,RU000A101N52,RUB,450.00 RUB,1000,В обращении,08.07.2020,25.03.2026,99.85 / 99.846 / 99.85,44.02,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26229 / ОФЗ-ПД229,RU000A100EG3,RUB,450.00 RUB,1000,В обращении,05.06.2019,12.11.2025,88.925 / 88.917 / 88.925,6.46,1000,35.65 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26240 / ОФЗ-ПД240,RU000A103BR0,RUB,500.00 RUB,1000,В обращении,30.06.2021,30.07.2036,53.847 / 53.755 / 53.843,23.78,1000,34.90 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26241 / ОФЗ-ПД241,RU000A105FZ9,RUB,750.00 RUB,1000,В обращении,16.11.2022,17.11.2032,67.991 / 67.913 / 67.989,4.95,1000,47.37 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26233 / ОФЗ-ПД233,RU000A101F94,RUB,450.00 RUB,1000,В обращении,13.05.2020,18.07.2035,51.416 / 51.415 / 51.416,23.07,1000,30.42 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""РусГидро""",корпоративные,РусГид2Р01 / РусГидро обб2П01,RU000A10A349,RUB,40.00 RUB,1000,В обращении,14.11.2024,05.11.2026,99.3 / 99.28 / 99.3,1.26,1000,18.90 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 26242 / ОФЗ-ПД242,RU000A105RV3,RUB,500.00 RUB,1000,В обращении,26.01.2023,29.08.2029,72.297 / 72.297 / 72.299,25.4,1000,44.88 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
